Constituency No.	Constituency Name	Candidate Name	Party	Votes Polled	Position	Win/Lose Margin
50	Rajasthan - Vidhyadhar Nagar	BHAGWAN SINGH	Abhinav Rajasthan Party	212	20	
50	Rajasthan - Vidhyadhar Nagar	KADAMBARI AGARWAL	Bhartiya Panchyat Party	132	21	
50	Rajasthan - Vidhyadhar Nagar	MOIN KHAN	Independent	128	22	
51	Rajasthan - Civil lines	PRATAP SINGH KHACHARIYAWAS	Indian National Congress	87937	1	18078
51	Rajasthan - Civil lines	ARUN CHATURVEDI	Bharatiya Janata Party	69859	2	18078
51	Rajasthan - Civil lines	None of the Above	None of the Above	1744	3	
51	Rajasthan - Civil lines	GULAB CHAND	Bahujan Samaj Party	944	4	
51	Rajasthan - Civil lines	JAY PRAKASH BUNAKAR	Independent	648	5	
51	Rajasthan - Civil lines	RAHIS AHMAD	Independent	626	6	
51	Rajasthan - Civil lines	DEVENDRA SHASTRI	Aam Aadmi Party	468	7	
51	Rajasthan - Civil lines	SALIM	Independent	386	8	
51	Rajasthan - Civil lines	KAILASH CHAND	Hindustan Janta Party	360	9	
51	Rajasthan - Civil lines	SWETA SHARMA	Bharat Vahini Party	217	10	
51	Rajasthan - Civil lines	KAILASH PALAWAT	Independent	150	11	
51	Rajasthan - Civil lines	BHARAT LAL	Independent	148	12	
51	Rajasthan - Civil lines	BHUPENDRA KUMAR GAUTAM	Ambedkarite Party of India	130	13	
51	Rajasthan - Civil lines	MOH. SABIR	Independent	130	14	
51	Rajasthan - Civil lines	RAJESH SHARMA	Bhartiya Panchyat Party	119	15	
51	Rajasthan - Civil lines	ANITA SAXENA	Independent	116	16	
51	Rajasthan - Civil lines	HIMANSHU SAINI	Republican Party of India (A)	114	17	
51	Rajasthan - Civil lines	SANJEEV KUMAR GURJAR	Abhinav Rajasthan Party	107	18	
51	Rajasthan - Civil lines	RAJENDRA MITTAL	Jago Party	68	19	
52	Rajasthan - Kishan pole	AMIN KAGZI	Indian National Congress	71189	1	8770
52	Rajasthan - Kishan pole	MOHAN LAL GUPTA	Bharatiya Janata Party	62419	2	8770
52	Rajasthan - Kishan pole	LALCHAND (LALU) SARASAR	Independent	1104	3	
52	Rajasthan - Kishan pole	SUDEEP JAIN BAGDA	Aam Aadmi Party	929	4	
52	Rajasthan - Kishan pole	BHARAT SHARMA	Independent	914	5	
52	Rajasthan - Kishan pole	None of the Above	None of the Above	754	6	
52	Rajasthan - Kishan pole	MO. UMAR	Independent	688	7	
52	Rajasthan - Kishan pole	SANJIV VERMA (SONI)	Communist Party of India	579	8	
52	Rajasthan - Kishan pole	VISHNU JAISWAL	Bharat Vahini Party	557	9	
52	Rajasthan - Kishan pole	KRISHAN KUMAR MAHARSHI	Independent	282	10	
52	Rajasthan - Kishan pole	MOHAMMAD JAHANGIR	Independent	255	11	
52	Rajasthan - Kishan pole	AZAM ALI KHAN	Independent	250	12	
52	Rajasthan - Kishan pole	MOHAMMAD APHAROJ	Independent	224	13	
52	Rajasthan - Kishan pole	CHARU GUPTA	National Unionist Zamindara Party	205	14	
52	Rajasthan - Kishan pole	AABID HUSSAIN	Independent	201	15	
52	Rajasthan - Kishan pole	NEETA MATHUR	Bharatiya Jan Kranti Dal (Democratic)	181	16	
52	Rajasthan - Kishan pole	GAURAV JAIN	Independent	165	17	
52	Rajasthan - Kishan pole	NARESH JAYSWAL	Independent	121	18	
52	Rajasthan - Kishan pole	PAWAN	Independent	98	19	
52	Rajasthan - Kishan pole	ALIMUDIN	Independent	97	20	
52	Rajasthan - Kishan pole	SUNIL KUMAR	Dalit Soshit Pichhara Varg Adhikar Dal	91	21	
52	Rajasthan - Kishan pole	RAFIK BHATI	Independent	91	22	
52	Rajasthan - Kishan pole	HARISH BARI	Independent	90	23	
52	Rajasthan - Kishan pole	PHAJAL AHMAD	Independent	88	24	
52	Rajasthan - Kishan pole	RAKESH PAREEK	Independent	88	25	
52	Rajasthan - Kishan pole	NAMAN SHARMA	Jago Party	73	26	
52	Rajasthan - Kishan pole	MUKESH KUMAR SHARMA	Independent	71	27	
52	Rajasthan - Kishan pole	ABDUL HAMEED AKRAM	Panch Party	70	28	
52	Rajasthan - Kishan pole	SHANKAR LAL TIKKIWAL	Independent	60	29	
52	Rajasthan - Kishan pole	BHAGCHAND	Independent	54	30	
52	Rajasthan - Kishan pole	MANJU KHAN	Independent	52	31	
52	Rajasthan - Kishan pole	CHAND	Independent	47	32	
52	Rajasthan - Kishan pole	ARUN PARASHAR	Bharatiya Yuva Shakti	47	33	
52	Rajasthan - Kishan pole	MO. AKRAM	Independent	43	34	
52	Rajasthan - Kishan pole	RAJESH GUPTA	Independent	41	35	
52	Rajasthan - Kishan pole	JAMIL AHAMAD	Independent	39	36	
52	Rajasthan - Kishan pole	SATYAJIT SINHA	Independent	35	37	
52	Rajasthan - Kishan pole	MANISH KUMAR CHAWARIYA	Independent	32	38	
52	Rajasthan - Kishan pole	NAFEES KHAN	Independent	30	39	
52	Rajasthan - Kishan pole	VINOD SHARMA	Independent	27	40	
52	Rajasthan - Kishan pole	DEEPAK LALWANI	Independent	26	41	
52	Rajasthan - Kishan pole	HARISH KUMAR	Independent	24	42	
52	Rajasthan - Kishan pole	SHAKIL QURESHI	Independent	23	43	
52	Rajasthan - Kishan pole	BABU KHAN MANYAR	Independent	21	44	
52	Rajasthan - Kishan pole	RAMSWARUP	Independent	17	45	
52	Rajasthan - Kishan pole	SADIK	Independent	10	46	
52	Rajasthan - Kishan pole	SHAMIM KHAN	Independent	7	47	
53	Rajasthan - Adarsh Nagar	RAFEEK KHAN	Indian National Congress	88541	1	12553
53	Rajasthan - Adarsh Nagar	ASHOK PARNAMI	Bharatiya Janata Party	75988	2	12553
53	Rajasthan - Adarsh Nagar	None of the Above	None of the Above	1493	3	
53	Rajasthan - Adarsh Nagar	SANDEEP SHARMA	Independent	1280	4	
53	Rajasthan - Adarsh Nagar	JITENDRA KUMAR HATWAL	Aam Aadmi Party	1247	5	
53	Rajasthan - Adarsh Nagar	KRISHAN KISHORE	Independent	1067	6	
53	Rajasthan - Adarsh Nagar	PAWAN GAUR	Independent	865	7	
53	Rajasthan - Adarsh Nagar	BABA ASHFAKUDDIN QURESHI	Independent	670	8	
53	Rajasthan - Adarsh Nagar	FARMIDA BANO	Independent	634	9	
53	Rajasthan - Adarsh Nagar	SANWAR LAL SHARMA	Bahujan Samaj Party	618	10	
53	Rajasthan - Adarsh Nagar	INDER KUMAR CHOPRA	Bharat Vahini Party	174	11	
53	Rajasthan - Adarsh Nagar	AMIT VYAS	Independent	165	12	
53	Rajasthan - Adarsh Nagar	MOHASIN QURESHI	Independent	163	13	
53	Rajasthan - Adarsh Nagar	LALCHAND SAINI	Independent	120	14	
53	Rajasthan - Adarsh Nagar	MOHAMMAD NADEEM	Independent	114	15	
53	Rajasthan - Adarsh Nagar	SHAKIL	Independent	113	16	
53	Rajasthan - Adarsh Nagar	BADAMI DEVI	Independent	94	17	
53	Rajasthan - Adarsh Nagar	MO. ABDULLA	Independent	88	18	
53	Rajasthan - Adarsh Nagar	ABDUL SAEED	Indian Peoples Green Party	86	19	
53	Rajasthan - Adarsh Nagar	AHSAN AHMAD ANSARI	Rashtriya Loktantrik Party	86	20	
53	Rajasthan - Adarsh Nagar	ABDUL AZIZ (BABBIE)	Independent	85	21	
53	Rajasthan - Adarsh Nagar	INDERJEET KAUL	Shiv Sena	82	22	
53	Rajasthan - Adarsh Nagar	YOGESH SHARMA	Independent	82	23	
53	Rajasthan - Adarsh Nagar	NRASINGH PANDEY	Bharatiya Yuva Shakti	68	24	
53	Rajasthan - Adarsh Nagar	SHAHABUDDIN	Bhartiya Panchyat Party	65	25	
53	Rajasthan - Adarsh Nagar	MOINUDIN	Independent	65	26	
53	Rajasthan - Adarsh Nagar	RIAZUDDIN	Independent	63	27	
53	Rajasthan - Adarsh Nagar	MUJEEB KHAN	Jago Party	60	28	
53	Rajasthan - Adarsh Nagar	WASIM AHMAD	Independent	59	29	
53	Rajasthan - Adarsh Nagar	BADRI SINGH	Independent	46	30	
53	Rajasthan - Adarsh Nagar	RAJNEESH GAUR	Independent	45	31	
53	Rajasthan - Adarsh Nagar	RAJENDRA KUMAR BASWALA	Independent	45	32	
54	Rajasthan - Malviya Nagar	KALICHARAN SARAF	Bharatiya Janata Party	70221	1	1704
54	Rajasthan - Malviya Nagar	DR. ARCHANA SHARMA	Indian National Congress	68517	2	1704
54	Rajasthan - Malviya Nagar	None of the Above	None of the Above	2371	3	
54	Rajasthan - Malviya Nagar	DR. BHARAT LAL GUPTA	Aam Aadmi Party	888	4	
54	Rajasthan - Malviya Nagar	SAROJ BAIRWA	Bahujan Samaj Party	619	5	
54	Rajasthan - Malviya Nagar	DINESH MITTAL	Independent	485	6	
54	Rajasthan - Malviya Nagar	RAJESH KUMAR SHARMA	Independent	471	7	
54	Rajasthan - Malviya Nagar	ABHISHEK SANGHI ALIAS BITTU JAIN	Independent	295	8	
54	Rajasthan - Malviya Nagar	PRADEEP KUMAR	Republican Party of India (A)	211	9	
54	Rajasthan - Malviya Nagar	SHANKAR LAL AGARWAL	Independent	211	10	
54	Rajasthan - Malviya Nagar	KAPUR CHANDRA	Independent	191	11	
54	Rajasthan - Malviya Nagar	KAPOOR CHAND BAIRWA	Independent	176	12	
54	Rajasthan - Malviya Nagar	ALOK GUPTA	Bharat Vahini Party	173	13	
54	Rajasthan - Malviya Nagar	BHAGWAN DAS ALIAS NARESH SARSOP	Janata Dal (United)	161	14	
54	Rajasthan - Malviya Nagar	SANGRAM SINGH NATHAWAT	Independent	130	15	
54	Rajasthan - Malviya Nagar	TRILOK TIWARI	Jago Party	124	16	
54	Rajasthan - Malviya Nagar	RAVI KUMAR VERMA (MEGHWAL)	Ambedkarite Party of India	112	17	
54	Rajasthan - Malviya Nagar	SAMAY SINGH	Bhartiya Kisan Party	93	18	
54	Rajasthan - Malviya Nagar	HARISH BAIRWA	Independent	84	19	
54	Rajasthan - Malviya Nagar	SUKHDEV SHARMA	Independent	78	20	
54	Rajasthan - Malviya Nagar	KANHAIYA LAKHERA	Bharatiya Yuva Shakti	66	21	
54	Rajasthan - Malviya Nagar	SHILA CHOUDHARY	Peoples Party of India (Democratic)	62	22	
54	Rajasthan - Malviya Nagar	DR. SANTOSH KUMAR AGARWAL	Independent	42	23	
55	Rajasthan - Sanganer	ASHOK LAHOTY	Bharatiya Janata Party	107947	1	35405
55	Rajasthan - Sanganer	PUSHPENDRA BHARDWAJ	Indian National Congress	72542	2	35405
55	Rajasthan - Sanganer	GHANSHYAM TIWARI	Bharat Vahini Party	17371	3	
55	Rajasthan - Sanganer	None of the Above	None of the Above	2325	4	
55	Rajasthan - Sanganer	RAMESH PRAJAPAT	Dalit Soshit Pichhara Varg Adhikar Dal	1081	5	
55	Rajasthan - Sanganer	JAWAHAR SHARMA	Aam Aadmi Party	1010	6	
55	Rajasthan - Sanganer	RAVI PRAKASH	Hindustan Shakti Sena	1009	7	
55	Rajasthan - Sanganer	RAMESH CHANDRA MATHUR	Independent	794	8	
55	Rajasthan - Sanganer	SITARAM SIGHADIA	Bahujan Samaj Party	779	9	
55	Rajasthan - Sanganer	DR. M.P. GOYAL	Bharatiya Rashtravadi Samanta Party	773	10	
55	Rajasthan - Sanganer	GAJANAND GUPTA	Abhinav Rajasthan Party	584	11	
55	Rajasthan - Sanganer	MUKESH KUMAR SHARMA	Indian Peoples Green Party	365	12	
55	Rajasthan - Sanganer	SURESH SAINI	Independent	349	13	
55	Rajasthan - Sanganer	RAMAVTAR SAINI	Bhartiya Jan Satta Party	303	14	
55	Rajasthan - Sanganer	SUNIL SHARMA	Jago Party	213	15	
55	Rajasthan - Sanganer	BADRI PRASAD DHAKA	Swaraj India	209	16	
55	Rajasthan - Sanganer	KRISHANDEEP	Sarvshakti Dal	191	17	
55	Rajasthan - Sanganer	DR.LILA VYAS	Independent	170	18	
55	Rajasthan - Sanganer	PARVEEN BANO	Communist Party of India (Marxist-Leninist) (Liberation)	169	19	
55	Rajasthan - Sanganer	ABHINAV CHATURVEDI	Naya Bharat Party	157	20	
55	Rajasthan - Sanganer	GULSHAN BAGHLA	Bhartiya Panchyat Party	153	21	
55	Rajasthan - Sanganer	VISHRAM SINGH MEENA	Peoples Party of India (Democratic)	152	22	
55	Rajasthan - Sanganer	KALU RAM SAHU	Shiv Sena	152	23	
55	Rajasthan - Sanganer	RAMLAL DHANKA	Independent	144	24	
55	Rajasthan - Sanganer	AMAR SINGH CHOUDHARY	Bhartiya Jan Hitkari Party	134	25	
55	Rajasthan - Sanganer	CHANDRAVEER SINGH RAJAWAT	Independent	122	26	
55	Rajasthan - Sanganer	SURENDRA KUMAWAT	Independent	121	27	
55	Rajasthan - Sanganer	GYANENDRA TIWARI	Nationalist People's Front	100	28	
55	Rajasthan - Sanganer	BABITA WADHWANI	Independent	88	29	
55	Rajasthan - Sanganer	KAILASH KHANDELWAL	Independent	65	30	
56	Rajasthan - Bagru	GANGA DEVI	Indian National Congress	96635	1	5343
56	Rajasthan - Bagru	KAILASH CHAND VERMA	Bharatiya Janata Party	91292	2	5343
56	Rajasthan - Bagru	DINESH RAI BHATI	Rashtriya Loktantrik Party	15796	3	
56	Rajasthan - Bagru	None of the Above	None of the Above	4203	4	
56	Rajasthan - Bagru	K.L.PANWAR	Bahujan Samaj Party	1590	5	
56	Rajasthan - Bagru	MAHESH NARANIA	Independent	1202	6	
56	Rajasthan - Bagru	JAGDISH PRASAD NAINAWAT	Aam Aadmi Party	971	7	
56	Rajasthan - Bagru	TEEKAM CHAND	Bharatiya Yuva Shakti	715	8	
56	Rajasthan - Bagru	DOLAT RAM	Janata Dal (United)	671	9	
56	Rajasthan - Bagru	GOMA SAGAR RAIGAR	Independent	612	10	
56	Rajasthan - Bagru	MUKESH KUMAR MAHARDA	Bharat Vahini Party	571	11	
56	Rajasthan - Bagru	YOGESH	Bharatiya Rashtravadi Samanta Party	455	12	
56	Rajasthan - Bagru	HIMANSHU VERMA	Abhinav Rajasthan Party	331	13	
56	Rajasthan - Bagru	RAVI VEDWAL	Peoples Party of India (Democratic)	313	14	
56	Rajasthan - Bagru	MEGH LAL	Republican Party of India (A)	302	15	
56	Rajasthan - Bagru	BHANU KHORWAL	Indian Peoples Green Party	186	16	
57	Rajasthan - Bassi	LAXMAN MEENA	Independent	79878	1	42764
57	Rajasthan - Bassi	KANHAIYALAL	Bharatiya Janata Party	37114	2	42764
57	Rajasthan - Bassi	ANJU DEVI DHANKA	Independent	25207	3	
57	Rajasthan - Bassi	DAULAT SINGH MEENA	Indian National Congress	15626	4	
57	Rajasthan - Bassi	AVANTI MEENA	Independent	2197	5	
57	Rajasthan - Bassi	RAKESH KUMAR	Bahujan Samaj Party	1994	6	
57	Rajasthan - Bassi	None of the Above	None of the Above	1558	7	
57	Rajasthan - Bassi	RAMSWAROOP MEENA	Independent	1310	8	
57	Rajasthan - Bassi	RAJENDRA KUMAR MEENA	Rashtriya Loktantrik Party	902	9	
57	Rajasthan - Bassi	LADU RAM HOTALA	Independent	810	10	
57	Rajasthan - Bassi	DHAN SINGH	Jan Adhikar Party	682	11	
57	Rajasthan - Bassi	SANGRAM SINGH BHEEL	Bharatiya Rashtravadi Samanta Party	447	12	
57	Rajasthan - Bassi	PREM DEVI	Ambedkarite Party of India	380	13	
57	Rajasthan - Bassi	SHEELA MEENA	Bharat Vahini Party	314	14	
57	Rajasthan - Bassi	RAJESH KUMAR MEENA	Nationalist People's Front	197	15	
57	Rajasthan - Bassi	RAMPRAKASH MEENA	Aam Aadmi Party	142	16	
58	Rajasthan - Chaksu	VED PRAKASH SOLANKI	Indian National Congress	70007	1	3431
58	Rajasthan - Chaksu	RAMAVATAR BAIRWA	Bharatiya Janata Party	66576	2	3431
58	Rajasthan - Chaksu	HEMANT VIJAY	Rashtriya Loktantrik Party	16706	3	
58	Rajasthan - Chaksu	None of the Above	None of the Above	1893	4	
58	Rajasthan - Chaksu	JEETRAM BAIRWA	Ambedkarite Party of India	1695	5	
58	Rajasthan - Chaksu	SHRIKANT KAUSHAL	Bharatiya Yuva Shakti	1252	6	
58	Rajasthan - Chaksu	RAJESH KUMAR BAIRWA	Aam Aadmi Party	748	7	
59	Rajasthan - Tijara	SANDEEP KUMAR	Bahujan Samaj Party	59468	1	4457
59	Rajasthan - Tijara	AIMADUDDIN AHMAD KHAN URF DURRU MIAN	Indian National Congress	55011	2	4457
59	Rajasthan - Tijara	SANDEEP DAYMA	Bharatiya Janata Party	41345	3	
59	Rajasthan - Tijara	FAZAL HUSSAIN	Samajwadi Party	22189	4	
59	Rajasthan - Tijara	RAMVIR AHIRWAL	Independent	1977	5	
59	Rajasthan - Tijara	None of the Above	None of the Above	856	6	
59	Rajasthan - Tijara	MUKESH KUMAR	Aam Aadmi Party	616	7	
59	Rajasthan - Tijara	HOSIYAR	Independent	519	8	
59	Rajasthan - Tijara	AMEEN	Bharatiya Yuva Shakti	315	9	
59	Rajasthan - Tijara	SURENDRA	Loktantrik Janta Dal	270	10	
59	Rajasthan - Tijara	SARITA SINGH	Akhand Samta Party	256	11	
59	Rajasthan - Tijara	JAGMAL SINGH	Independent	248	12	
59	Rajasthan - Tijara	RAMKRIPAL YADAV	Independent	195	13	
59	Rajasthan - Tijara	LAXMI	Rashtriya Loktantrik Party	179	14	
59	Rajasthan - Tijara	SAHID HUSSAIN	Abhinav Rajasthan Party	84	15	
60	Rajasthan - Kishangarh bas	DEEPCHAND	Bahujan Samaj Party	73799	1	9916
60	Rajasthan - Kishangarh bas	RAMHET SINGH YADAV	Bharatiya Janata Party	63883	2	9916
60	Rajasthan - Kishangarh bas	DR. KARAN SINGH YADAV	Indian National Congress	39033	3	
60	Rajasthan - Kishangarh bas	None of the Above	None of the Above	980	4	
60	Rajasthan - Kishangarh bas	JAGDISH CHANDRA	Abhinav Rajasthan Party	691	5	
60	Rajasthan - Kishangarh bas	SUBEDIN	Aam Aadmi Party	680	6	
60	Rajasthan - Kishangarh bas	SAHABUDDIN KHAN	Bharatiya Yuva Shakti	424	7	
61	Rajasthan - Mundawar	MANJEET DHARAMPAL CHOUDHARY	Bharatiya Janata Party	73191	1	17602
61	Rajasthan - Mundawar	LALIT YADAV	Bahujan Samaj Party	55589	2	17602
61	Rajasthan - Mundawar	BHARAT YADAV	Loktantrik Janta Dal	21852	3	
61	Rajasthan - Mundawar	ROHITASH	Independent	1608	4	
61	Rajasthan - Mundawar	SHISHRAM CHHAWDY	Independent	1392	5	
61	Rajasthan - Mundawar	SANJAY SINGH	Akhand Samta Party	1392	6	
61	Rajasthan - Mundawar	DR. RAKESH KUMAR JAT	Independent	828	7	
61	Rajasthan - Mundawar	JAYVEER SINGH CHOUHAN	Independent	598	8	
61	Rajasthan - Mundawar	ARUN KUMAR	Bhartiya Panchyat Party	579	9	
61	Rajasthan - Mundawar	RAJU	Independent	561	10	
61	Rajasthan - Mundawar	SURESH KUMAR	Independent	549	11	
61	Rajasthan - Mundawar	None of the Above	None of the Above	400	12	
61	Rajasthan - Mundawar	RAMNATH MEGHWAL	Ambedkarite Party of India	328	13	
61	Rajasthan - Mundawar	AMAR PAL SINGH	Independent	326	14	
61	Rajasthan - Mundawar	SURAJBHAN YADAV	Independent	265	15	
61	Rajasthan - Mundawar	BHUPENDRA SINGH	Nationalist People's Front	264	16	
61	Rajasthan - Mundawar	HARISINGH SHARMA	Independent	258	17	
61	Rajasthan - Mundawar	KAMALJEET	Aam Aadmi Party	241	18	
61	Rajasthan - Mundawar	VIJAY KUMAR	Republican Party of India (A)	180	19	
61	Rajasthan - Mundawar	JAKIR HUSAIN	Bharatiya Yuva Shakti	164	20	
61	Rajasthan - Mundawar	ANAND YADAV	Independent	145	21	
61	Rajasthan - Mundawar	ANIL KUMAR SINDHI	Independent	144	22	
61	Rajasthan - Mundawar	SHANTANU KUMAR	Bharat Vahini Party	64	23	
62	Rajasthan - Behror	BALJEET YADAV	Independent	55160	1	3836
62	Rajasthan - Behror	RAMCHANDRA YADAV	Indian National Congress	51324	2	3836
62	Rajasthan - Behror	MOHIT YADAV	Bharatiya Janata Party	37755	3	
62	Rajasthan - Behror	JASRAM	Bahujan Samaj Party	12433	4	
62	Rajasthan - Behror	None of the Above	None of the Above	1246	5	
62	Rajasthan - Behror	ASHA	Aam Aadmi Party	842	6	
62	Rajasthan - Behror	KHAMOSH DEVI	Independent	823	7	
62	Rajasthan - Behror	MUKESH KUMAR SHARMA	Bharat Vahini Party	724	8	
62	Rajasthan - Behror	MAHENDRA SINGH	Janata Dal (United)	378	9	
62	Rajasthan - Behror	GAJRAJ SINGH YADAV	Abhinav Rajasthan Party	252	10	
63	Rajasthan - Bansur	SHAKUNTALA RAWAT	Indian National Congress	65656	1	17920
63	Rajasthan - Bansur	DEVI SINGH SHEKHAWAT	Independent	47736	2	17920
63	Rajasthan - Bansur	MAHENDRA KUMAR YADAV	Bharatiya Janata Party	44226	3	
63	Rajasthan - Bansur	MUKESH	Samajwadi Party	3122	4	
63	Rajasthan - Bansur	None of the Above	None of the Above	1966	5	
63	Rajasthan - Bansur	OMPRAKASH	Bahujan Samaj Party	1442	6	
63	Rajasthan - Bansur	JALE SINGH	Independent	1426	7	
63	Rajasthan - Bansur	OMPRAKASH GURJAR	Abhinav Rajasthan Party	992	8	
63	Rajasthan - Bansur	MEERA BAI	Rashtriya Loktantrik Party	556	9	
63	Rajasthan - Bansur	ASHOK SINGH CHAUHAN	Independent	457	10	
63	Rajasthan - Bansur	KULDEEP SHARMA	Bharat Vahini Party	312	11	
63	Rajasthan - Bansur	POORAN MAL GURJAR	Nationalist People's Front	305	12	
63	Rajasthan - Bansur	GHANSHYAM	Loktantrik Janta Dal	255	13	
64	Rajasthan - Thanagazi	KANTI PRASAD	Independent	64079	1	29350
64	Rajasthan - Thanagazi	HEM SINGH	Independent	34729	2	29350
64	Rajasthan - Thanagazi	ROHITASH KUMAR	Bharatiya Janata Party	22735	3	
64	Rajasthan - Thanagazi	SUNIL KUMAR	Indian National Congress	22637	4	
64	Rajasthan - Thanagazi	KULDEEP SHARMA	Independent	4702	5	
64	Rajasthan - Thanagazi	RAM CHARAN KOLI	Independent	1565	6	
64	Rajasthan - Thanagazi	KAILASH	Bahujan Samaj Party	1309	7	
64	Rajasthan - Thanagazi	None of the Above	None of the Above	1278	8	
64	Rajasthan - Thanagazi	MANISH JAIN	Aam Aadmi Party	1033	9	
64	Rajasthan - Thanagazi	DR. MADAN RAJORIA	Bahujan Mukti Party	975	10	
64	Rajasthan - Thanagazi	NIRMAL PRASHAD	Bharat Vahini Party	530	11	
64	Rajasthan - Thanagazi	BABULAL MEENA	Bharatiya Yuva Shakti	366	12	
65	Rajasthan - Alwar Rural	TIKA RAM JULLY	Indian National Congress	85752	1	26477
65	Rajasthan - Alwar Rural	MASTER RAMKISHAN	Bharatiya Janata Party	59275	2	26477
65	Rajasthan - Alwar Rural	RINKY VERMA	Bahujan Samaj Party	25379	3	
65	Rajasthan - Alwar Rural	None of the Above	None of the Above	1236	4	
65	Rajasthan - Alwar Rural	BISHAN LAL	Independent	491	5	
65	Rajasthan - Alwar Rural	SAWAINATH SAPERA	Bharatiya Rashtravadi Samanta Party	470	6	
65	Rajasthan - Alwar Rural	RAJENDRA PRASAD DOCHANIA	Independent	439	7	
65	Rajasthan - Alwar Rural	MANISH	Aam Aadmi Party	313	8	
65	Rajasthan - Alwar Rural	RAMBABU BASWAL (KHATIK)	Bharatiya Yuva Shakti	275	9	
65	Rajasthan - Alwar Rural	KANHAIYA LAL JATAV	Bharat Vahini Party	249	10	
65	Rajasthan - Alwar Rural	MASTER SHYAM LAL	Samajwadi Party	208	11	
65	Rajasthan - Alwar Rural	JEETU JATAV	Lok Jan Shakti Party	159	12	
65	Rajasthan - Alwar Rural	PREM CHAND JATAV	Shiv Sena	157	13	
65	Rajasthan - Alwar Rural	DIPENDRA ARYA	Abhinav Rajasthan Party	103	14	
66	Rajasthan - Alwar Urban	SANJAY SHARMA	Bharatiya Janata Party	85041	1	22008
66	Rajasthan - Alwar Urban	SHWETA SAINI	Indian National Congress	63033	2	22008
66	Rajasthan - Alwar Urban	TARA SINGH	Bahujan Samaj Party	6370	3	
66	Rajasthan - Alwar Urban	AJAY KUMAR PUNIYA	Aam Aadmi Party	3507	4	
66	Rajasthan - Alwar Urban	NAVJOT SINGH BHAMLOT	Abhinav Rajasthan Party	2706	5	
66	Rajasthan - Alwar Urban	C.A. SHRIKISHAN GUPTA	Shiv Sena	1727	6	
66	Rajasthan - Alwar Urban	None of the Above	None of the Above	1081	7	
66	Rajasthan - Alwar Urban	TEJPAL SAINI	Communist Party of India	738	8	
66	Rajasthan - Alwar Urban	KAPIL JASAIWAL	Independent	513	9	
66	Rajasthan - Alwar Urban	BHAGCHAND	Akhil Bharat Hindu Mahasabha	490	10	
66	Rajasthan - Alwar Urban	AMAR CHAND MINA	Independent	478	11	
66	Rajasthan - Alwar Urban	RAMESH CHAND SINGHAL	National Unionist Zamindara Party	341	12	
66	Rajasthan - Alwar Urban	ANAND KUMAR SAIN	Independent	259	13	
66	Rajasthan - Alwar Urban	RAJAN GUPTA	Bharat Vahini Party	243	14	
66	Rajasthan - Alwar Urban	RAHUL KUMAR GUPTA	Independent	167	15	
66	Rajasthan - Alwar Urban	PREM KUMAR VERMA	Ambedkarite Party of India	160	16	
66	Rajasthan - Alwar Urban	SHOBHARAM	Bharatiya Yuva Shakti	120	17	
66	Rajasthan - Alwar Urban	MAHESH CHAND SHARMA	Jago Party	74	18	
68	Rajasthan - Rajgarh laxmangarh	JOHARI LAL MEENA	Indian National Congress	82876	1	30298
68	Rajasthan - Rajgarh laxmangarh	VIJAY SAMARTH LAL	Bharatiya Janata Party	52578	2	30298
68	Rajasthan - Rajgarh laxmangarh	BANNA RAM MEENA	Bahujan Samaj Party	28199	3	
68	Rajasthan - Rajgarh laxmangarh	SURAJ BHAN DHANKA	Samajwadi Party	2464	4	
68	Rajasthan - Rajgarh laxmangarh	None of the Above	None of the Above	1222	5	
68	Rajasthan - Rajgarh laxmangarh	LAXMINARAYAN	Independent	1173	6	
68	Rajasthan - Rajgarh laxmangarh	MEENAKSHI MEENA	Bharatiya Rashtravadi Samanta Party	544	7	
68	Rajasthan - Rajgarh laxmangarh	JASRAM MEENA JHALATALA	Bharatiya Yuva Shakti	492	8	
68	Rajasthan - Rajgarh laxmangarh	MAHENDER MEENA	Aam Aadmi Party	390	9	
68	Rajasthan - Rajgarh laxmangarh	RAMOTAR MEENA	Independent	386	10	
68	Rajasthan - Rajgarh laxmangarh	BEENA DEVI	Nationalist People's Front	173	11	
68	Rajasthan - Rajgarh laxmangarh	DHARM SINGH DHANKA	Gondvana Gantantra Party	151	12	
69	Rajasthan - Kathumar	BABULAL	Indian National Congress	54110	1	14168
69	Rajasthan - Kathumar	BABULAL MANAGER	Bharatiya Janata Party	39942	2	14168
69	Rajasthan - Kathumar	RAMESH KHINCHI	Independent	32916	3	
69	Rajasthan - Kathumar	NARSEE KUMAR KIRAD	Rashtriya Loktantrik Party	10846	4	
69	Rajasthan - Kathumar	ISWAR SINGH	Bahujan Samaj Party	2332	5	
69	Rajasthan - Kathumar	ROOP NARAIN NAGAR	Independent	1626	6	
69	Rajasthan - Kathumar	BABULAL	Independent	1304	7	
69	Rajasthan - Kathumar	None of the Above	None of the Above	1071	8	
69	Rajasthan - Kathumar	MONU RAM KOLI	Bharatiya Rashtravadi Samanta Party	628	9	
69	Rajasthan - Kathumar	GIRVAR SINGH	Bharatiya Yuva Shakti	615	10	
69	Rajasthan - Kathumar	VINOD	Ambedkarite Party of India	232	11	
70	Rajasthan - Kaman	ZAHIDA KHAN	Indian National Congress	110789	1	39621
